food_id,name,category,processing,true_ileal_digestibility,calculated_diaas,clr_His,clr_Ile,clr_Leu,clr_Lys,clr_Met,clr_Cys,clr_Phe,clr_Tyr,clr_Thr,clr_Trp,clr_Val
FP_001,Whey Protein Isolate,Animal_Dairy,Isolate,0.98,1.16375,-0.7962124950168219,0.41823123911074633,1.0300327087125107,0.8443155802124696,-0.649609092595246,-0.44481476412428256,-0.27491578519923543,-0.24414413600217566,0.49345464902587155,-0.6961290865851275,0.31979118246128424
FP_002,Micellar Casein,Animal_Dairy,Concentrate,0.96,1.4191304347826086,-0.2922253685011902,0.32681367506991377,0.9294467610445061,0.7575965238546862,-0.2922253685011902,-1.8326690999258548,0.30739559298355035,0.36455399593025506,0.1822324761733296,-0.9853721919184699,0.534453003790472
FP_003,Whole Egg Powder,Animal_Poultry,Cooked,0.97,1.3675409836065573,-0.5482674808339572,0.2626625039009598,0.7280256846840882,0.5503445300564516,-0.260585512548805,-0.5908270771368191,0.2626625039009598,-0.037442023734577834,0.12382608662751071,-0.9537323806088969,0.46333316569308325
FP_004,Cooked Beef (Lean),Animal_Meat,Cooked,0.94,1.1985,-0.040403447732754394,0.26187734741385604,0.8276850116627021,0.8758871076708492,-0.3086673438297267,-1.081856783345533,0.12211543764738542,-0.070256401969782,0.217425594724443,-1.1688680845776531,0.36506156233621834
FP_005,Cooked Chicken Breast,Animal_Poultry,Cooked,0.95,1.1875,-0.14235441564759332,0.273805871762661,0.7931060363359599,0.9009949854012316,-0.28050470633870184,-1.0113918160213222,0.08721995982653752,-0.04998112397956733,0.18485840553834265,-1.091434459592346,0.3356812627147936
FP_006,Soy Protein Isolate,Plant_Legume,Isolate,0.91,1.028695652173913,-0.24036231436385957,0.3933612651915861,0.8582497178940596,0.6446756481210265,-0.9335091103086421,-0.9335091103086421,0.4527846738884489,0.13912718588359363,0.13912718588359363,-0.9335091103086421,0.41356396842747367
FP_007,Pea Protein Isolate,Plant_Legume,Isolate,0.89,0.8126086956521739,-0.22693756229641826,0.36084892482797803,0.9850031307263869,0.8308524707403953,-1.0479176052756727,-1.1432276941709936,0.561519579886097,0.16510439574991898,0.19177263571970693,-1.1432276941709936,0.46620941826358697
FP_008,Brown Rice Protein Concentrate,Plant_Cereal,Concentrate,0.87,0.561875,-0.46127338088030756,0.16443231665970393,0.8099513376234939,-0.16278050452623205,-0.22947185677797055,-0.41871378457744557,0.4285838377145903,0.31525517383615487,0.01415015132248687,-0.9577099876912536,0.4975766972967821
FP_009,Cooked Chickpeas,Plant_Legume,Cooked,0.78,0.8580000000000001,-0.13020490331837786,0.31162771668556966,0.8366378781933679,0.7636127538485575,-0.8610920130009982,-0.7869840957922909,0.5442499625383408,0.00794538737273065,0.18487604322144957,-1.2288164512462956,0.35814772149795404
FP_010,Cooked Lentils,Plant_Legume,Cooked,0.76,0.6608695652173913,-0.18024883490283328,0.362075288480721,0.9183631870986808,0.8635549581154223,-1.2018993713242412,-1.0012288778820877,0.5327007690317838,0.09738280472578342,0.2644368427689159,-1.1478322085334343,0.4926954424212844
FP_011,Whole Wheat Flour,Plant_Cereal,Raw,0.83,0.4495833333333333,-0.19916707234473874,0.2336968635551937,0.8274714492854218,-0.11912439672247155,-0.5440073870679272,-0.24172666864760073,0.49397989988193824,0.05676620770647478,-0.04501645204126703,-0.8923138362382779,0.42944139263325276
FP_012,Cooked Quinoa,Plant_Pseudocereal,Cooked,0.84,0.9363934426229508,-0.13899115525293837,0.17338344035834563,0.6793189819865475,0.5202543127118258,-0.4491459623447045,-0.6498165567968059,0.2884527436320039,0.04333034598547769,0.09739755263587435,-0.9752387435563614,0.4110550406407296
