food_id,name,category,processing,crude_protein_pct,His,Ile,Leu,Lys,Met,Cys,Phe,Tyr,Thr,Trp,Val,phytate_mg_g,trypsin_inhibitor_tiu_g,tannins_mg_g,true_ileal_digestibility,published_diaas_adult,SAA,AAA,Total_EAA_mg_g
FP_001,Whey Protein Isolate,Animal_Dairy,Isolate,90.0,19.0,64.0,118.0,98.0,22.0,27.0,32.0,33.0,69.0,21.0,58.0,0.0,0.0,0.0,0.98,1.15,49.0,65.0,561.0
FP_002,Micellar Casein,Animal_Dairy,Concentrate,82.0,28.0,52.0,95.0,80.0,28.0,6.0,51.0,54.0,45.0,14.0,64.0,0.0,0.0,0.0,0.96,1.18,34.0,105.0,517.0
FP_003,Whole Egg Powder,Animal_Poultry,Cooked,48.0,24.0,54.0,86.0,72.0,32.0,23.0,54.0,40.0,47.0,16.0,66.0,0.0,0.0,0.0,0.97,1.13,55.0,94.0,514.0
FP_004,Cooked Beef (Lean),Animal_Meat,Cooked,28.0,34.0,46.0,81.0,85.0,26.0,12.0,40.0,33.0,44.0,11.0,51.0,0.0,0.0,0.0,0.94,1.1,38.0,73.0,463.0
FP_005,Cooked Chicken Breast,Animal_Poultry,Cooked,31.0,31.0,47.0,79.0,88.0,27.0,13.0,39.0,34.0,43.0,12.0,50.0,0.0,0.0,0.0,0.95,1.08,40.0,73.0,463.0
FP_006,Soy Protein Isolate,Plant_Legume,Isolate,88.0,26.0,49.0,78.0,63.0,13.0,13.0,52.0,38.0,38.0,13.0,50.0,12.5,2.1,0.8,0.91,0.9,26.0,90.0,433.0
FP_007,Pea Protein Isolate,Plant_Legume,Isolate,82.0,25.0,45.0,84.0,72.0,11.0,10.0,55.0,37.0,38.0,10.0,50.0,14.0,1.8,1.2,0.89,0.82,21.0,92.0,437.0
FP_008,Brown Rice Protein Concentrate,Plant_Cereal,Concentrate,78.0,23.0,43.0,82.0,31.0,29.0,24.0,56.0,50.0,37.0,14.0,60.0,18.2,0.5,2.0,0.87,0.58,53.0,106.0,449.0
FP_009,Cooked Chickpeas,Plant_Legume,Cooked,8.9,27.0,42.0,71.0,66.0,13.0,14.0,53.0,31.0,37.0,9.0,44.0,8.4,3.4,2.5,0.78,0.74,27.0,84.0,407.0
FP_010,Cooked Lentils,Plant_Legume,Cooked,9.0,25.0,43.0,75.0,71.0,9.0,11.0,51.0,33.0,39.0,9.5,49.0,9.8,4.1,3.2,0.76,0.63,20.0,84.0,415.5
FP_011,Whole Wheat Flour,Plant_Cereal,Raw,13.2,24.0,37.0,67.0,26.0,17.0,23.0,48.0,31.0,28.0,12.0,45.0,22.0,1.2,1.9,0.83,0.45,40.0,79.0,358.0
FP_012,Cooked Quinoa,Plant_Pseudocereal,Cooked,4.4,30.0,41.0,68.0,58.0,22.0,18.0,46.0,36.0,38.0,13.0,52.0,6.1,0.2,1.1,0.84,0.81,40.0,82.0,422.0
