food_id,name,category,processing,crude_protein_pct,His,Ile,Leu,Lys,Met,Cys,Phe,Tyr,Thr,Trp,Val,phytate_mg_g,trypsin_inhibitor_tiu_g,tannins_mg_g,true_ileal_digestibility,published_diaas_adult,SAA,AAA,Total_EAA_mg_g,ratio_His,ratio_Ile,ratio_Leu,ratio_Lys,ratio_SAA,ratio_AAA,ratio_Thr,ratio_Trp,ratio_Val,lowest_eaa_ratio,limiting_amino_acid,calculated_diaas
FP_001,Whey Protein Isolate,Animal_Dairy,Isolate,90.0,19.0,64.0,118.0,98.0,22.0,27.0,32.0,33.0,69.0,21.0,58.0,0.0,0.0,0.0,0.98,1.15,49.0,65.0,561.0,1.1875,2.1333333333333333,1.9344262295081966,2.0416666666666665,2.130434782608696,1.5853658536585367,2.76,3.181818181818182,1.45,1.1875,His,1.16375
FP_002,Micellar Casein,Animal_Dairy,Concentrate,82.0,28.0,52.0,95.0,80.0,28.0,6.0,51.0,54.0,45.0,14.0,64.0,0.0,0.0,0.0,0.96,1.18,34.0,105.0,517.0,1.75,1.7333333333333334,1.5573770491803278,1.6666666666666667,1.4782608695652173,2.5609756097560976,1.8,2.121212121212121,1.6,1.4782608695652173,SAA,1.4191304347826086
FP_003,Whole Egg Powder,Animal_Poultry,Cooked,48.0,24.0,54.0,86.0,72.0,32.0,23.0,54.0,40.0,47.0,16.0,66.0,0.0,0.0,0.0,0.97,1.13,55.0,94.0,514.0,1.5,1.8,1.4098360655737705,1.5,2.391304347826087,2.292682926829268,1.88,2.4242424242424243,1.65,1.4098360655737705,Leu,1.3675409836065573
FP_004,Cooked Beef (Lean),Animal_Meat,Cooked,28.0,34.0,46.0,81.0,85.0,26.0,12.0,40.0,33.0,44.0,11.0,51.0,0.0,0.0,0.0,0.94,1.1,38.0,73.0,463.0,2.125,1.5333333333333334,1.3278688524590163,1.7708333333333333,1.6521739130434783,1.7804878048780488,1.76,1.6666666666666667,1.275,1.275,Val,1.1985
FP_005,Cooked Chicken Breast,Animal_Poultry,Cooked,31.0,31.0,47.0,79.0,88.0,27.0,13.0,39.0,34.0,43.0,12.0,50.0,0.0,0.0,0.0,0.95,1.08,40.0,73.0,463.0,1.9375,1.5666666666666667,1.2950819672131149,1.8333333333333333,1.7391304347826086,1.7804878048780488,1.72,1.8181818181818183,1.25,1.25,Val,1.1875
FP_006,Soy Protein Isolate,Plant_Legume,Isolate,88.0,26.0,49.0,78.0,63.0,13.0,13.0,52.0,38.0,38.0,13.0,50.0,12.5,2.1,0.8,0.91,0.9,26.0,90.0,433.0,1.625,1.6333333333333333,1.278688524590164,1.3125,1.1304347826086956,2.1951219512195124,1.52,1.9696969696969697,1.25,1.1304347826086956,SAA,1.028695652173913
FP_007,Pea Protein Isolate,Plant_Legume,Isolate,82.0,25.0,45.0,84.0,72.0,11.0,10.0,55.0,37.0,38.0,10.0,50.0,14.0,1.8,1.2,0.89,0.82,21.0,92.0,437.0,1.5625,1.5,1.3770491803278688,1.5,0.9130434782608695,2.2439024390243905,1.52,1.5151515151515151,1.25,0.9130434782608695,SAA,0.8126086956521739
FP_008,Brown Rice Protein Concentrate,Plant_Cereal,Concentrate,78.0,23.0,43.0,82.0,31.0,29.0,24.0,56.0,50.0,37.0,14.0,60.0,18.2,0.5,2.0,0.87,0.58,53.0,106.0,449.0,1.4375,1.4333333333333333,1.3442622950819672,0.6458333333333334,2.3043478260869565,2.5853658536585367,1.48,2.121212121212121,1.5,0.6458333333333334,Lys,0.561875
FP_009,Cooked Chickpeas,Plant_Legume,Cooked,8.9,27.0,42.0,71.0,66.0,13.0,14.0,53.0,31.0,37.0,9.0,44.0,8.4,3.4,2.5,0.78,0.74,27.0,84.0,407.0,1.6875,1.4,1.1639344262295082,1.375,1.173913043478261,2.048780487804878,1.48,1.3636363636363638,1.1,1.1,Val,0.8580000000000001
FP_010,Cooked Lentils,Plant_Legume,Cooked,9.0,25.0,43.0,75.0,71.0,9.0,11.0,51.0,33.0,39.0,9.5,49.0,9.8,4.1,3.2,0.76,0.63,20.0,84.0,415.5,1.5625,1.4333333333333333,1.2295081967213115,1.4791666666666667,0.8695652173913043,2.048780487804878,1.56,1.4393939393939394,1.225,0.8695652173913043,SAA,0.6608695652173913
FP_011,Whole Wheat Flour,Plant_Cereal,Raw,13.2,24.0,37.0,67.0,26.0,17.0,23.0,48.0,31.0,28.0,12.0,45.0,22.0,1.2,1.9,0.83,0.45,40.0,79.0,358.0,1.5,1.2333333333333334,1.098360655737705,0.5416666666666666,1.7391304347826086,1.9268292682926829,1.12,1.8181818181818183,1.125,0.5416666666666666,Lys,0.4495833333333333
FP_012,Cooked Quinoa,Plant_Pseudocereal,Cooked,4.4,30.0,41.0,68.0,58.0,22.0,18.0,46.0,36.0,38.0,13.0,52.0,6.1,0.2,1.1,0.84,0.81,40.0,82.0,422.0,1.875,1.3666666666666667,1.1147540983606556,1.2083333333333333,1.7391304347826086,2.0,1.52,1.9696969696969697,1.3,1.1147540983606556,Leu,0.9363934426229507
